id	Group	Domain	Phylum	Class 	color	shape
Candidatus Bathyarchaeota unclassified	1	Archaea	Candidatus Bathyarchaeota	Candidatus Bathyarchaeota unclassified	blue	square
Candidatus Diapherotrites unclassified	1	Archaea	Candidatus Diapherotrites	Candidatus Diapherotrites unclassified	blue	square
Crenarchaeota unclassified	1	Archaea	Crenarchaeota	Crenarchaeota unclassified	blue	square
Euryarchaeota unclassified	1	Archaea	Euryarchaeota	Euryarchaeota unclassified	blue	square
Archaea unclassified	1	Archaea	Archaea_unclassified 	Archaea_unclassified 	blue	square
Nanoarchaeota unclassified	1	Archaea	Nanoarchaeota	Archaea_unclassified 	blue	square
TACK group unclassified	1	Archaea	Archaea_unclassified 	Archaea_unclassified 	blue	square
Thaumarchaeota unclassified	1	Archaea	Thaumarchaeota	Archaea_unclassified 	blue	square
Unclassified Archaea unclassified	1	Archaea	Archaea_unclassified 	Archaea_unclassified 	blue	square
Archaeoglobaceae	1	Archaea	Euryarchaeota	Archaeoglobi	blue	square
Halobacteriaceae	1	Archaea	Euryarchaeota	Halobacteria	blue	square
Halobacteriales unclassified	1	Archaea	Euryarchaeota	Halobacteria	blue	square
Halobacteria unclassified	1	Archaea	Euryarchaeota	Halobacteria	blue	square
Haloferacaceae	1	Archaea	Euryarchaeota	Halobacteria	blue	square
Natrialbaceae	1	Archaea	Euryarchaeota	Halobacteria	blue	square
Methanobacteriaceae	1	Archaea	Euryarchaeota	Methanobacteria	blue	square
Methanocaldococcaceae	1	Archaea	Euryarchaeota	Methanococci	blue	square
Methanococcaceae	1	Archaea	Euryarchaeota	Methanococci	blue	square
Methanococcales unclassified	1	Archaea	Euryarchaeota	Methanococci	blue	square
Methanocellaceae	1	Archaea	Euryarchaeota	Methanomicrobia	blue	square
Methanocorpusculaceae	1	Archaea	Euryarchaeota	Methanomicrobia	blue	square
Methanomicrobiaceae	1	Archaea	Euryarchaeota	Methanomicrobia	blue	square
Methanomicrobiales unclassified	1	Archaea	Euryarchaeota	Methanomicrobia	blue	square
Methanomicrobia unclassified	1	Archaea	Euryarchaeota	Methanomicrobia	blue	square
Methanoregulaceae	1	Archaea	Euryarchaeota	Methanomicrobia	blue	square
Methanosarcinaceae	1	Archaea	Euryarchaeota	Methanomicrobia	blue	square
Methanosarcinales unclassified	1	Archaea	Euryarchaeota	Methanomicrobia	blue	square
Nitrososphaeraceae	1	Archaea	Thaumarchaeota	Nitrososphaeria	blue	square
Nitrosopumilaceae	1	Archaea	Thaumarchaeota	Thaumarchaeota	blue	square
Thermococcaceae	1	Archaea	Euryarchaeota	Thermococci	blue	square
Ferroplasmaceae	1	Archaea	Euryarchaeota	Thermoplasmata	blue	square
